Role,Skill
Data Analyst,Python
Data Analyst,SQL
Data Analyst,Excel
Data Analyst,Power BI
Data Analyst,Tableau
Data Analyst,Statistics
Data Analyst,Pandas
Data Analyst,Data Visualization

Data Scientist,Python
Data Scientist,SQL
Data Scientist,Statistics
Data Scientist,Machine Learning
Data Scientist,Deep Learning
Data Scientist,Pandas
Data Scientist,NumPy
Data Scientist,Scikit-Learn
Data Scientist,Data Visualization
Data Scientist,Feature Engineering

Machine Learning Engineer,Python
Machine Learning Engineer,Machine Learning
Machine Learning Engineer,Deep Learning
Machine Learning Engineer,TensorFlow
Machine Learning Engineer,PyTorch
Machine Learning Engineer,MLOps
Machine Learning Engineer,Docker
Machine Learning Engineer,Kubernetes
Machine Learning Engineer,Scikit-Learn

AI Engineer,Python
AI Engineer,NLP
AI Engineer,LLM
AI Engineer,LangChain
AI Engineer,RAG
AI Engineer,Vector Databases
AI Engineer,Prompt Engineering
AI Engineer,Machine Learning
AI Engineer,Deep Learning

Data Engineer,Python
Data Engineer,SQL
Data Engineer,Spark
Data Engineer,Hadoop
Data Engineer,ETL
Data Engineer,Airflow
Data Engineer,AWS
Data Engineer,Data Warehousing

Business Analyst,Excel
Business Analyst,SQL
Business Analyst,Power BI
Business Analyst,Tableau
Business Analyst,Requirement Gathering
Business Analyst,Stakeholder Management
Business Analyst,Data Analysis

Software Engineer,Python
Software Engineer,Java
Software Engineer,C++
Software Engineer,DSA
Software Engineer,OOP
Software Engineer,System Design
Software Engineer,Git
Software Engineer,REST APIs

Backend Developer,Python
Backend Developer,Django
Backend Developer,Flask
Backend Developer,FastAPI
Backend Developer,SQL
Backend Developer,REST APIs
Backend Developer,Docker
Backend Developer,AWS

Frontend Developer,HTML
Frontend Developer,CSS
Frontend Developer,JavaScript
Frontend Developer,React
Frontend Developer,Redux
Frontend Developer,TypeScript
Frontend Developer,Tailwind CSS

Full Stack Developer,HTML
Full Stack Developer,CSS
Full Stack Developer,JavaScript
Full Stack Developer,React
Full Stack Developer,Node.js
Full Stack Developer,MongoDB
Full Stack Developer,Express.js
Full Stack Developer,Git

Cloud Engineer,AWS
Cloud Engineer,Azure
Cloud Engineer,GCP
Cloud Engineer,Docker
Cloud Engineer,Kubernetes
Cloud Engineer,Linux
Cloud Engineer,Terraform
Cloud Engineer,CI/CD

DevOps Engineer,Linux
DevOps Engineer,Docker
DevOps Engineer,Kubernetes
DevOps Engineer,Jenkins
DevOps Engineer,GitHub Actions
DevOps Engineer,AWS
DevOps Engineer,Terraform
DevOps Engineer,CI/CD

Cybersecurity Analyst,Networking
Cybersecurity Analyst,Linux
Cybersecurity Analyst,SIEM
Cybersecurity Analyst,Cybersecurity
Cybersecurity Analyst,Ethical Hacking
Cybersecurity Analyst,Incident Response
Cybersecurity Analyst,Vulnerability Assessment

Database Administrator,SQL
Database Administrator,MySQL
Database Administrator,PostgreSQL
Database Administrator,Database Tuning
Database Administrator,Backup Management
Database Administrator,Database Security

Product Analyst,SQL
Product Analyst,Python
Product Analyst,Excel
Product Analyst,A/B Testing
Product Analyst,Power BI
Product Analyst,Statistics
Product Analyst,Product Metrics

Mobile App Developer,Flutter
Mobile App Developer,Dart
Mobile App Developer,Firebase
Mobile App Developer,REST APIs
Mobile App Developer,Android
Mobile App Developer,iOS

Blockchain Developer,Solidity
Blockchain Developer,Ethereum
Blockchain Developer,Smart Contracts
Blockchain Developer,Web3
Blockchain Developer,Cryptography

UI/UX Designer,Figma
UI/UX Designer,Wireframing
UI/UX Designer,Prototyping
UI/UX Designer,User Research
UI/UX Designer,Design Systems
